UMA GRANDE CRIAÇÃO DE CAVALOS, 5
ONDE MILICIANOS VEM DESMATANDO E RETIRANDO TERRA COM ESCAVADEIRA, 4
AO LADO DA IGREJA, 4
MUITAS PESSOAS ESTÃO FICANDO DOENTES, 5
PRÓXIMO A SUBESTAÇÃO DA AMPLA, 3
PRÓXIMO AO SALÃO DE FESTAS, 3
COM DIVERSOS PÁSSAROS, 4
CURIÓS E COLEIROS, 4
PRÓXIMO A BOATE GREGOS, 1
AO LADO DO BAR DO SEU PEDRO, 1
PRÓXIMO AO BAR DO ALEMÃO E A PRAÇA NOVA, 1
POSSUI UM FERRO VELHO NO LOCAL, 3
ACUMULANDO GRANDE QUANTIDADE DE LIXOS E OBJETOS, 3
ONDE PODE SER VISTO ÁGUA PARADA COM PROLIFERAÇÃO DE LARVAS MOSQUITOS E OUTROS INSETOS, 4
ELE POSSUI DIVERSOS PÁSSAROS SILVESTRES QUE FICAM PRESOS EM PEQUENAS GAIOLAS, 5
PRÓXIMO A UMA MERCEARIA, 1
PRÓXIMO A ACADEMIA HÉRCULES, 3

