NESTE MOMENTO HÁ DOIS CAVALOS MORTOS NO LOCAL, 5
NESTE MOMENTO PODE SER ENCONTRADO UM CÃO MUITO MACHUCADO, 4
OS ANIMAIS SERÃO COMERCIALIZADOS NAS PRÓXIMAS HORAS, 5
PARA INICIAR MAIS OBRAS IRREGULARES NO LOCAL, 3
DIARIAMENTE A QUALQUER HORÁRIO, 3
NESTE MOMENTO UM CÃO DE PEQUENO PORTE AMARRADO SEM ALIMENTAÇÃO PEGANDO SOL E CHUVA, 4
ELE COLOCA CHUMBINHO PARA MICOS QUE PASSAM PELO LOCAL, 3
CABRAS QUE FICAM AMARRADAS EM PEQUENAS CORDAS MUITO MACHUCADAS, 3
SEM ALIMENTO E SEM ÁGUA, 4
ESPANCA-LO CONSTANTEMENTE PELO FATO DO ANIMAL LATIR MUITO, 4
DEIXOU NO INTERIOR DA CASA DOIS CACHORROS SEM ALIMENTAÇÃO E SEM ÁGUA, 4

